txid,timestamp,src_ip,dst_ip,src_port,dst_port,input_addresses,output_addresses,num_inputs,num_outputs,amount_btc,fee_btc,fee_ratio,script_type,geo_country,asn,organization,india_state,india_city,india_region,transaction_scope,india_link_type,is_india_linked,cross_border_flag,external_country,transaction_value_inr,event_window_id,synthetic_label
tx_da7d60418355ddfd,2026-08-31T07:26:05Z,185.44.37.188,198.139.188.112,8333,8333,bc1q7babfc3e1452,bc1qb733a18f0020,1,1,1.998953,0.00036659,0.000183,P2SH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,AE,14992147.5,WIN_126,0
tx_1524cdb158b2d70e,2026-08-31T05:44:05Z,194.12.85.64,103.215.216.100,8333,8333,bc1q1815c515e949;bc1q1dbf258a8199;bc1q11c9fd4a120d,bc1q488fae5346d9;bc1q1815c515e949,3,2,2.193758,0.00023518,0.000107,P2SH,CH,AS3303,Swisscom Switzerland,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,16453185.0,WIN_138,0
tx_3c7a59343ac2acb0,2026-08-29T23:18:05Z,203.113.100.152,103.115.153.188,8333,8333,bc1qb8fd3d0c1494;bc1q882dee4efc0d,bc1qfc3a3024f10b,2,1,1.068953,0.00027654,0.000259,TAPROOT,NL,AS1103,SURF B.V. Netherlands,Not Applicable,Not Applicable,Not Applicable,Domestic,India Graph-Linked,true,false,None,8017147.5,WIN_125,0
tx_83843dab24beb2f5,2026-08-30T17:58:05Z,198.239.48.136,194.180.237.135,13908,8333,bc1q38aaa43819e2,bc1q67c87712a82e;bc1qc7c72235b3bb,1,2,1.947129,0.00019962,0.000103,P2WSH,SG,AS4657,StarHub Singapore,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,BR,14603467.5,WIN_116,0
tx_b556f04ae8d94975,2026-08-29T18:42:05Z,194.43.166.73,203.19.186.221,55226,8333,bc1q4708a1e7a0c6;bc1q2f296ded07f9,bc1q6b911d4f45d3;bc1qe7f65bffc34f,2,2,0.741318,6.864e-05,9.3e-05,P2WPKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,5559885.0,WIN_129,0
tx_a834a6e3e18aebb6,2026-08-30T10:48:05Z,185.219.10.212,103.115.153.188,50838,8333,bc1qf616adf9080b;bc1q3d15dbdf3841;bc1q52ed13c7130c,bc1qf7f5baeb4d1a,3,1,1.177047,0.00035705,0.000303,P2WPKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,8827852.5,WIN_121,0
tx_40a8e9a915553b2e,2026-08-30T19:29:05Z,198.139.188.112,194.71.36.160,6971,8333,bc1q2bbaa517e0ce;bc1q4ae786cba461;bc1qc1fbbdbfd866,bc1q824575b7d9dc,3,1,1.046144,0.00012892,0.000123,P2WPKH,SG,AS4657,StarHub Singapore,Not Applicable,Not Applicable,Not Applicable,Domestic,India Graph-Linked,true,false,None,7846080.0,WIN_136,0
tx_76bc406eb5a7ec19,2026-08-31T03:48:05Z,194.22.76.110,203.36.46.240,8333,8333,bc1qd4b2d6daa2c8;bc1qe6e7aaa2005f;bc1q1e1c75f9cf6a,bc1q4545c484385c,3,1,1.542835,0.00037258,0.000241,P2WPKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,11571262.5,WIN_140,0
tx_55e6f7e3a5080590,2026-08-31T00:51:05Z,194.70.145.252,194.22.76.110,43199,8333,bc1q3d15dbdf3841;bc1qbe84020467b0;bc1q733dcbce1a1d,bc1qa648aef8e46a;bc1qeacc3fa52a5c,3,2,2.482986,0.00015353,6.2e-05,P2SH,NL,AS1103,SURF B.V. Netherlands,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,BR,18622395.0,WIN_104,0
tx_1454ad0a2e83b21f,2026-08-30T00:59:05Z,45.95.49.149,194.180.237.135,20387,8333,bc1qdfe04d5009f8;bc1q979753eaacf6,bc1q3472407512a4;bc1q179cbdc4bb4b,2,2,1.27654,0.00015392,0.000121,P2WSH,IN,AS55836,Reliance Jio Infocomm,Maharashtra,Mumbai,West,Cross-Border,India Outbound,true,true,JP,9574050.0,WIN_113,0
tx_2e2a3a15e57d6919,2026-08-30T13:42:05Z,103.148.96.228,203.225.136.152,8333,8333,bc1q542f8fe38a22;bc1q38aaa43819e2,bc1q9c9848e4f362,2,1,0.73309,0.00034906,0.000476,TAPROOT,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,SG,5498175.0,WIN_120,0
tx_469e0e9e9e3d347e,2026-08-29T14:19:05Z,194.43.166.73,103.75.24.220,8333,8333,bc1qae77c70806b6;bc1q1e1c75f9cf6a;bc1qb7effca1788d,bc1qf9d2db7534f5,3,1,1.408337,0.00032105,0.000228,P2WPKH,SG,AS4657,StarHub Singapore,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,10562527.5,WIN_125,0
tx_7c3cf8a0eb4b1711,2026-08-31T02:34:05Z,45.77.168.22,194.70.145.252,38154,8333,bc1qfcbd969e2963,bc1q4832edd1b2a9,1,1,1.258365,0.0002341,0.000186,P2SH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,9437737.5,WIN_118,0
tx_ffd2ac33da54e80b,2026-08-29T17:34:05Z,45.17.209.79,194.139.252.108,8333,8333,bc1q3f6cfc8e5b4e;bc1qc82256c52699;bc1qd0865a987b03,bc1qf616adf9080b,3,1,1.075673,0.00014783,0.000137,P2WSH,GB,AS2856,BT Group UK,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,8067547.5,WIN_120,0
tx_edb300a7e27d140b,2026-08-29T13:31:05Z,185.226.144.45,198.152.75.193,8333,8333,bc1qf526903e41ea,bc1qa060954d9707,1,1,1.545832,0.00019702,0.000127,TAPROOT,NG,AS37105,MainOne Nigeria,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,SG,11593740.0,WIN_131,0
tx_707679b93c8485f4,2026-08-30T23:50:05Z,203.238.76.153,198.55.132.148,8333,8333,bc1q021ac9a9c97c,bc1qc22874b67463;bc1qc06e93f56ddd,1,2,2.097174,8.423e-05,4e-05,P2SH,IN,AS55836,Reliance Jio Infocomm,Maharashtra,Mumbai,West,Cross-Border,India Outbound,true,true,KR,15728805.0,WIN_113,0
tx_edb102d729104c9c,2026-08-29T22:16:05Z,103.18.164.157,142.98.162.205,8333,8333,bc1qfcbd969e2963;bc1q1da8aa755192,bc1q97b78ebfe003;bc1q1d13030e5ded,2,2,1.155632,5.903e-05,5.1e-05,P2PKH,DE,AS3320,Deutsche Telekom AG,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,8667240.0,WIN_103,0
tx_a2850f3c3cb56033,2026-08-29T19:01:05Z,103.92.240.146,194.126.160.40,36534,8333,bc1q4832edd1b2a9;bc1q8fbc21be7142;bc1q824575b7d9dc,bc1qdc38959e11d9,3,1,1.013632,0.00019595,0.000193,P2WSH,NG,AS37105,MainOne Nigeria,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,NL,7602240.0,WIN_104,0
tx_3d6ae0d6604929ea,2026-08-30T12:04:05Z,142.20.124.60,194.111.65.31,8333,8333,bc1qca77482a47d2;bc1q882dee4efc0d,bc1q4cd93e8f57cf;bc1q202163ae3a5f,2,2,1.884629,0.00028647,0.000152,P2WSH,RU,AS12389,Rostelecom Russia,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,14134717.5,WIN_105,0
tx_4ad4d0af0328008d,2026-08-29T15:03:05Z,45.95.49.149,185.190.109.91,8333,8333,bc1q4832edd1b2a9;bc1q1da8aa755192;bc1qe7f65bffc34f,bc1q657ed510e5c3,3,1,0.708921,0.00026555,0.000375,P2WSH,IN,AS55836,Reliance Jio Infocomm,Maharashtra,Mumbai,West,Domestic,India Domestic,true,false,None,5316907.5,WIN_114,0
tx_37a77f07c2dd9242,2026-08-30T14:08:05Z,45.85.217.3,45.43.181.137,32097,8333,bc1q824575b7d9dc,bc1qf753913e13c3,1,1,1.54732,0.00033076,0.000214,TAPROOT,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,11604900.0,WIN_122,0
tx_a054fa062f8e088f,2026-08-29T13:52:05Z,185.81.156.187,194.70.145.252,8333,8333,bc1q16c5a5ed1ec9,bc1qe553e5fc01c6,1,1,0.582353,0.00025241,0.000433,P2WPKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,4367647.5,WIN_110,0
tx_347f1fe91a6d9e02,2026-08-31T03:07:05Z,198.239.48.136,45.91.225.77,5291,8333,bc1qdc38959e11d9;bc1q143ed937ada9,bc1q6873929563ed;bc1qf565599c0e98,2,2,0.092609,0.00014478,0.001563,P2PKH,SG,AS4657,StarHub Singapore,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,BR,694567.5,WIN_121,0
tx_680a50c794cd47f0,2026-08-29T12:19:05Z,203.179.61.1,142.20.124.60,54113,8333,bc1qc531ee526640,bc1q955c628f8553,1,1,2.289996,0.00037444,0.000164,P2WSH,IN,AS55836,Reliance Jio Infocomm,Telangana,Hyderabad,South,Cross-Border,India Outbound,true,true,BR,17174970.0,WIN_139,0
tx_b40158e905f6af45,2026-08-30T02:44:05Z,45.146.220.146,194.172.197.146,8333,8333,bc1qa83d2b71176f;bc1qc06e93f56ddd,bc1qa83d2b71176f;bc1qae77c70806b6,2,2,0.075009,7.878e-05,0.00105,P2PKH,AE,AS5384,Emirates Telecom UAE,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,562567.5,WIN_135,0
tx_1f10bb7ec30380ee,2026-08-30T12:41:05Z,103.28.112.247,203.144.49.123,21406,8333,bc1q352b73957bf6,bc1q04a0fafe3270,1,1,0.959488,8.978e-05,9.4e-05,TAPROOT,IN,AS55836,Reliance Jio Infocomm,Maharashtra,Mumbai,West,Domestic,India Domestic,true,false,None,7196160.0,WIN_110,0
tx_892b386d3df96f32,2026-08-30T10:54:05Z,203.83.59.175,194.12.85.64,3707,8333,bc1q744428d00bae,bc1qcb680ac124cc,1,1,0.292554,0.00015726,0.000538,P2PKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,2194155.0,WIN_118,0
tx_8670123da4bce63e,2026-08-30T11:20:05Z,185.44.37.188,198.175.130.160,41587,8333,bc1q41f2bfa7333b;bc1qeacc3fa52a5c;bc1qb922b328f831,bc1q4c2c97e5a194;bc1q86793f5bab6e,3,2,0.735958,0.00034552,0.000469,P2PKH,IN,AS55836,Reliance Jio Infocomm,Telangana,Hyderabad,South,Domestic,India Domestic,true,false,None,5519685.0,WIN_132,0
tx_949a4799d8bd5b39,2026-08-29T16:08:05Z,194.71.36.160,142.104.221.100,8333,8333,bc1qbc4350e38a17;bc1qb5ac0d6e0f14,bc1q744428d00bae,2,1,2.301974,0.00024032,0.000104,P2PKH,JP,AS2516,KDDI Corporation Japan,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,DE,17264805.0,WIN_102,0
tx_f409fa25819eb4d8,2026-08-30T07:19:05Z,203.105.10.112,198.239.48.136,50775,8333,bc1q4b595893c90f;bc1q11c9fd4a120d;bc1q944c0a9d2e23,bc1q657ed510e5c3;bc1q26a9eeb82cc3,3,2,2.439478,5.467e-05,2.2e-05,P2PKH,SG,AS4657,StarHub Singapore,Not Applicable,Not Applicable,Not Applicable,Cross-Border,None,false,true,CH,18296085.0,WIN_130,0
tx_d177ba161c3874e0,2026-08-29T16:22:05Z,198.55.132.148,185.207.80.111,8333,8333,bc1qfccd64d81bef;bc1q315bdaaaa9fc,bc1q26a9eeb82cc3;bc1q727f028b885d,2,2,1.855386,0.00012235,6.6e-05,P2PKH,US,AS15169,Google Cloud / Tier-1 US,Not Applicable,Not Applicable,Not Applicable,Domestic,None,false,false,None,13915395.0,WIN_127,0
